Row,Office,Department / Appropriation,2014-15 Available with Supplementals,2015-2016 Budget,$ Change,% Change,Notes
1,Governor's Office,,,,,,
2,,Governor's Office,"$6,508","$6,498",-$10,-0.20%,
3,,Governor's Office Total,"$6,508","$6,498",-$10,-0.20%,
4,,,,,,,
5,Executive Offices,,,,,,
6,,Office of Administration,"$8,267","$8,598",$331,4.00%,
7,,Medicare Part B Penalties,$200,$175,-$25,-12.50%,
8,,Commonwealth Technology Services,"$54,768","$65,568","$10,800",19.70%,
9,,Office of Inspector General,"$4,152","$4,152",$0,0.00%,
10,,Inspector General - Welfare Fraud,"$12,705","$12,705",$0,0.00%,
11,,Office of the Budget,"$18,692","$18,642",-$50,-0.30%,
12,,Audit of the Auditor General,$99,$0,-$99,-100.00%,
13,,Office of General Counsel,"$3,230","$3,230",$0,0.00%,
14,,Human Relations Commission,"$9,256","$9,588",$332,3.60%,
15,,Council on the Arts,$898,$898,$0,0.00%,
16,,Juvenile Court Judges Commission,"$2,800","$2,961",$161,5.80%,
17,,Commission on Crime and Delinquency,"$4,007","$4,012",$5,0.10%,
18,,Violence Prevention Programs,"$4,567","$3,867",-$700,-15.30%,
19,,Victims of Juvenile Offenders,"$1,300","$1,300",$0,0.00%,
20,,Intermediate Punishment Treatment Programs,"$18,167","$18,167",$0,0.00%,
21,,Child Advocacy Centers,"$2,250",$0,"-$2,250",-100.00%,
22,,Juvenile Probation Services,"$18,945","$18,945",$0,0.00%,
23,,Grants to the Arts,"$8,590","$10,590","$2,000",23.30%,
24,,Executive Offices Total,"$172,893","$183,398","$10,505",6.10%,
25,,,,,,,
26,Lieutenant Governor,,,,,,
27,,Lieutenant Governor's Office,$830,$980,$150,18.10%,
28,,Board of Pardons,$553,$649,$96,17.40%,
29,,Lieutenant Governor Total,"$1,383","$1,629",$246,17.80%,
30,,,,,,,
31,Attorney General,,,,,,
32,,General Government Operations,"$41,877","$43,550","$1,673",4.00%,
33,,Drug Law Enforcement,"$25,728","$26,628",$900,3.50%,
34,,Local Drug Task Forces,"$12,038","$12,183",$145,1.20%,
35,,Joint Local-State Firearm Task Force,"$3,736","$3,816",$80,2.10%,
36,,Witness Relocation,"$1,215","$1,215",$0,0.00%,
37,,Child Predator Interception,"$4,100","$4,246",$146,3.60%,
38,,Tobacco Law Enforcement,$915,"$1,135",$220,24.00%,
39,,County Trial Reimbursement,$200,$200,$0,0.00%,
40,,Mobile Street Crimes,"$2,480","$2,544",$64,2.60%,
41,,Attorney General Total,"$92,289","$95,517","$3,228",3.50%,
42,,,,,,,
43,Auditor General,,,,,,
44,,Auditor General's Office,"$41,389","$42,248",$859,2.10%,
45,,Board of Claims,"$1,640","$1,832",$192,11.70%,
46,,Security and Other Expenses - Outgoing Governor,$85,$0,-$85,-100.00%,
47,,Information Technology Modernization,"$1,750","$5,000","$3,250",185.70%,
48,,Auditor General Total,"$44,864","$49,080","$4,216",9.40%,
49,,,,,,,
50,Treasury,,,,,,
51,,General Government Operations,"$36,028","$34,792","-$1,236",-3.40%,
52,,Information Technology Modernization,"$4,000","$4,000",$0,0.00%,
53,,Board of Finance and Revenue,"$2,505","$2,715",$210,8.40%,
54,,Divestiture Reimbursement,$229,$68,-$161,-70.30%,
55,,Intergovernmental Organizations,"$1,036","$1,025",-$11,-1.10%,
56,,Publishing Monthly Statements,$15,$15,$0,0.00%,
57,,Law Enforcement & Emergency Response Death Benefit,"$2,163","$2,163",$0,0.00%,
58,,Loan and Transfer Agents,$60,$50,-$10,-16.70%,
59,,Tax Note Expenses (EA),$0,$400,$400,100.00%,
60,,Interest on Tax Anticipation Notes (EA),$0,"$16,000","$16,000",100.00%,
61,,Cash Management Loan Interest (EA),"$3,000",$0,"-$3,000",-100.00%,
62,,General Obligation Debt Service,"$1,096,500","$1,157,000","$60,500",5.50%,
63,,Treasury Total,"$1,145,536","$1,218,228","$72,692",6.30%,
64,,,,,,,
65,Agriculture,,,,,,
66,,General Government Operations,"$25,269","$28,284","$3,015",11.90%,
67,,Agricultural Excellence,"$1,100",$0,"-$1,100",-100.00%,
68,,Farmers' Market Food Coupons,"$2,079","$2,079",$0,0.00%,
69,,Agricultural Research,$787,$0,-$787,-100.00%,
70,,"Agricultural Promotion, Education and Exports",$250,$0,-$250,-100.00%,
71,,Hardwoods Research and Promotion,$350,$0,-$350,-100.00%,
72,,Livestock Show,$177,$0,-$177,-100.00%,
73,,Open Dairy Show,$177,$0,-$177,-100.00%,
74,,Youth Shows,$140,$140,$0,0.00%,
75,,State Food Purchase,"$17,438","$20,338","$2,900",16.60%,
76,,Food Marketing and Research,$494,$0,-$494,-100.00%,
77,,Transfer to Nutrient Management Fund,"$2,714","$2,714",$0,0.00%,
78,,Transfer to Conservation District Fund,$869,$869,$0,0.00%,
79,,Transfer to Agricultural College Land Scrip Fund,"$46,237","$46,237",$0,0.00%,
80,,PA Preferred Program Trademark Licensing,$550,$550,$0,0.00%,
81,,University of Pennsylvania - Veterinary Activities,"$28,000","$28,000",$0,0.00%,
82,,University of Pennsylvania - Center for Infectious Disease,$261,$261,$0,0.00%,
83,,Agriculture Total,"$126,892","$129,472","$2,580",2.00%,
84,,,,,,,
85,Community and Economic Development,,,,,,
86,,General Government Operations,"$14,422","$14,658",$236,1.60%,
87,,Center for Local Government Services,"$8,534","$8,547",$13,0.20%,
88,,Office of Open Records,"$2,002","$2,141",$139,6.90%,
89,,World Trade PA,"$5,824","$6,834","$1,010",17.30%,
90,,Marketing to Attract Tourists,"$7,264","$4,264","-$3,000",-41.30%,
91,,Marketing to Attract Business,"$2,008","$3,008","$1,000",49.80%,
92,,Transfer to Municipalities Financial Recovery Revolving Fund,"$4,000","$3,000","-$1,000",-25.00%,
93,,Transfer to Ben Franklin Tech. Development Authority Fund,"$14,500","$14,500",$0,0.00%,
94,,Transfer to Commonwealth Financing Authority,"$77,755","$97,000","$19,245",24.80%,
95,,Intergovernmental Cooperation Authority-2nd Class Cities,$250,$250,$0,0.00%,
96,,Pennsylvania First,"$20,000","$45,000","$25,000",125.00%,
97,,Municipal Assistance Program,$642,$642,$0,0.00%,
98,,Keystone Communities,"$6,150","$21,150","$15,000",243.90%,
99,,Partnerships for Regional Economic Performance,"$11,880","$11,880",$0,0.00%,
100,,"Discovered in PA, Developed in PA","$5,000",$0,"-$5,000",-100.00%,
101,,Tourism - Accredited Zoos,$550,$0,-$550,-100.00%,
102,,Rural Leadership Training,$100,$0,-$100,-100.00%,
103,,Super Computer Center,$500,$0,-$500,-100.00%,
104,,Infrastructure Technology Assistance Program,"$1,750",$0,"-$1,750",-100.00%,
